연도,월,곡명,가수,국내/해외,검증,출처
1980,,창밖의 여자,조용필,국내,검증됨,위키백과
1981,,고추잠자리,조용필,국내,검증됨,위키백과
1982,,못찾겠다 꾀꼬리,조용필,국내,검증됨,위키백과
1982,,잊혀진 계절,이용,국내,검증됨,위키백과
1983,,친구여,조용필,국내,검증됨,위키백과
1984,12,Last Christmas,Wham!,해외,검증됨,위키백과
1984,,J에게,이선희,국내,검증됨,위키백과
1985,,그 겨울의 찻집,조용필,국내,검증됨,위키백과
1985,,여행을 떠나요,조용필,국내,검증됨,위키백과
1985,,난 아직 모르잖아요,이문세,국내,검증됨,위키백과
1985,,그것만이 내 세상,들국화,국내,검증됨,Discogs
1985,,We Are the World,USA for Africa,해외,검증됨,위키백과
1986,,비처럼 음악처럼,김현식,국내,검증됨,Discogs
1987,,리듬 속의 그 춤을,김완선,국내,검증됨,위키백과
1987,,사랑하기 때문에,유재하,국내,검증됨,Discogs
1987,,사랑이 지나가면,이문세,국내,검증됨,위키백과
1988,,광화문 연가,이문세,국내,검증됨,위키백과
1988,,서울 서울 서울,조용필,국내,검증됨,위키백과
1988,,담다디,이상은,국내,검증됨,위키백과
1989,,희망사항,변진섭,국내,검증됨,Discogs
1989,,Q,조용필,국내,검증됨,위키백과
1990,,미소 속에 비친 그대,신승훈,국내,검증됨,위키백과
1991,11,보이지 않는 사랑,신승훈,국내,검증됨,위키백과
1991,,내 사랑 내 곁에,김현식,국내,검증됨,Discogs
1991,,(Everything I Do) I Do It for You,Bryan Adams,해외,검증됨,위키백과
1992,11,I Will Always Love You,Whitney Houston,해외,검증됨,위키백과
1992,,난 알아요,서태지와 아이들,국내,검증됨,위키백과
1993,,하여가,서태지와 아이들,국내,검증됨,위키백과
1993,,핑계,김건모,국내,검증됨,위키백과
1994,,여름 안에서,듀스,국내,검증됨,위키백과
1994,,그 후로 오랫동안,신승훈,국내,검증됨,위키백과
1995,,잘못된 만남,김건모,국내,검증됨,위키백과
1995,,Come Back Home,서태지와 아이들,국내,검증됨,위키백과
1995,,날개 잃은 천사,룰라,국내,검증됨,위키백과
1996,,캔디,H.O.T.,국내,검증됨,위키백과
1997,11,I'm Your Girl,S.E.S.,국내,검증됨,위키백과
1997,11,My Heart Will Go On,Celine Dion,해외,검증됨,위키백과
1998,,내 남자친구에게,핑클,국내,검증됨,위키백과
1999,,어머님께,god,국내,검증됨,위키백과
2000,,거짓말,god,국내,검증됨,위키백과
2001,,벌써 일년,브라운아이즈,국내,검증됨,위키백과
2002,4,No.1,보아,국내,검증됨,위키백과
2002,,오 필승 코리아,"윤도현 밴드(YB), 붉은악마",국내,검증됨,위키백과
2003,,10 Minutes,이효리,국내,검증됨,위키백과
2004,,Hug,동방신기,국내,검증됨,위키백과
2004,,어머나,장윤정,국내,검증됨,위키백과
2005,3,무조건,박상철,국내,검증됨,위키백과
2005,,라라라,SG워너비,국내,검증됨,위키백과
2006,,사랑 안 해,백지영,국내,검증됨,위키백과
2007,,Tell Me,원더걸스,국내,검증됨,위키백과
2007,,다시 만난 세계,소녀시대,국내,검증됨,위키백과
2008,,Nobody,원더걸스,국내,검증됨,위키백과
2008,,하루하루,빅뱅,국내,검증됨,위키백과
2009,1,Gee,소녀시대,국내,검증됨,위키백과
2009,3,Sorry Sorry,슈퍼주니어,국내,검증됨,위키백과
2009,,Poker Face,Lady Gaga,해외,검증됨,위키백과
2010,1,Oh!,소녀시대,국내,검증됨,위키백과
2010,12,좋은 날,아이유,국내,검증됨,한국갤럽
2010,,죽어도 못 보내,2AM,국내,검증됨,위키백과
2011,,롤리폴리,티아라,국내,검증됨,위키백과
2012,3,벚꽃 엔딩,버스커 버스커,국내,검증됨,위키백과
2012,7,강남스타일,싸이,국내,검증됨,위키백과
2013,4,Bounce,조용필,국내,검증됨,위키백과
2013,8,으르렁,EXO,국내,검증됨,위키백과
2014,2,썸,"소유, 정기고",국내,검증됨,위키백과
2014,6,"눈, 코, 입",태양,국내,검증됨,위키백과
2014,,Let It Go,Idina Menzel,해외,검증됨,위키백과
2015,6,뱅뱅뱅,빅뱅,국내,검증됨,위키백과
2016,4,Cheer Up,트와이스,국내,검증됨,한국갤럽
2017,3,밤편지,아이유,국내,검증됨,한국갤럽
2017,9,DNA,방탄소년단,국내,검증됨,위키백과
2018,1,사랑을 했다,iKON,국내,검증됨,위키백과
2019,4,작은 것들을 위한 시,방탄소년단,국내,검증됨,위키백과
